Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
17.56666667,57.38333333,173,6,91,85,1,18,0,0
13.86666667,57.36666667,78,2,199,43,22,2,0,0
16.61666667,60.66666667,95,0,198,77,14,2,0,0
19.15,58.33333333,239,5,77,227,8,9,0,0
19.7,58.98333333,104,1,146,59,2,4,0,0
21,59.6,289,3,195,371,13,23,0,0
21.75,59.73333333,86,0,75,82,7,9,0,0
20.75,60.18333333,107,1,142,100,3,8,0,0
20,60.61666667,67,1,101,51,10,5,0,0
19.55,60.75,173,2,196,124,10,8,0,0
19.93333333,61.68333333,57,0,267,38,18,0,0,0
21.71666667,60.83333333,46,1,119,45,3,3,0,0
22.68333333,60.15,47,0,140,60,6,8,0,0
22.68333333,59.75,81,1,207,141,12,13,0,0
22.61666667,59.61666667,147,1,139,118,18,17,0,0
22.63333333,59.71666667,62,0,243,100,5,16,0,0
22.18333333,63.15,85,0,90,173,8,8,0,0
24.06666667,58.78333333,39,0,96,55,2,11,0,0
-18.35,62.06666667,8,1,65,208,9,5,0,0
-12.26666667,62.83333333,13,5,96,147,7,3,0,0
-8.933333333,55.5,23,0,112,135,10,1,0,0
-26.93333333,61.81666667,7,0,157,87,13,0,0,6
-8.316666667,69.01666667,8,6,123,80,11,2,0,0
-2.45,71.21666667,15,17,122.5,228.5,31,5,0,0.5
-2.333333333,70.23333333,10,14,129,82,32,2,0,0
-2.2,69.25,10,16,65,167,19,1,0,0
2.966666667,88.85,22,7,78,93,11,1,0,0
2.916666667,91.05,18,11,66,154,8,3,0,0
2.983333333,91.68333333,19,13,85,67,22,6,0,0
-0.566666667,97.88333333,12,11,155,124,9,0,0,0
3.333333333,-130.6166667,7,9,274,26,109,1,0,0
-9.983333333,-133.3833333,9,47,101,133,41,50,0,0
-16.78333333,-148.4833333,10,0,43,415,3,2,0,0
-28.56666667,-143.6666667,14,0,83,184,71,0,0,0
-44.21666667,-127.3333333,182,0,87,7,123,0,0,0
-44.35,-127.2333333,124,0,90,17,112,0,0,0
-45.5,-119.8333333,144,0,46,2,127,0,0,0
-42,-102,202,1,112,32,80,0,0,0
-42.9,-97.08333333,185,0,35,47,68,0,0,0
-34.5,-79.5,11,2,206,11,110,0,0,0
-28.48333333,-106.5,13,1,30,370,44,11,0,0
-23.61666667,-118.2333333,2,0,13,470,10,3,0,0
-22.08333333,-115.2,6,1,61,289,10,9,0,0
-4.033333333,-113.3,1,3,404,5,52,0,0,0
-26.3,-115.7166667,38,0,21,326,18,6,0,0
-14.73333333,-112.1,15,12,120,175,8,6,0,0
-11.7,-109.7166667,19,27,151,137,14,5,0,0
-9.883333333,-110.6833333,20,29,310,311,30,24,0,0
1.45,-116.2166667,3,0,297,3,59,0,0,0
4.133333333,-115.7666667,2,0,249,1,66,5,0,0
-45.01666667,95.08333333,146,0,107,13,109,0,0,0
-47.13333333,95.08333333,158,0,81,11,95,0,0,0
-47.98333333,95.03333333,98,0,62,14,90,0,0,0
-49.38333333,94.83333333,123,0,73,6,91,0,0,0
-59.65,-89.75,5,0,10,0,345,0,0,0
-58,-130.1166667,33,0,23,0,264,0,0,0
-54.01666667,-159.9833333,178,0,83,7,95,0,0,0
-58.86666667,-63.06666667,0,0,1,0,324,0,0,0
-59.96666667,-136.9666667,1,0,0,0,338,0,0,0
4.85,156.0666667,13,1,104,147,14,5,0,0
2.783333333,156.2333333,23,0,121,217,5,5,0,0
-2.233333333,157,27,3,230,340,5,28,0,0
-3.6,161.3166667,24,2,142,204,1,28,0,0
-1.75,160.8,10,12,151,140,15,3,0,0
-1.633333333,159.0666667,41,4,222,309,2,39,0,1
-0.016666667,158.7,26,3,124,225,7,7,0,0
-0.016666667,160.4166667,15,3,113,122,1,1,0,0
0,161,3,6,128,98,8,1,0,0
0,161.4333333,4,2,159,40,23,4,0,0
0,161.9833333,4,2,285,10,17,5,0,0
-0.033333333,162.7,1,0,288,10,22,12,0,0
0.883333333,161,4,6,242,101,22,7,0,0
1.1,161.6,4,0,272,52,19,6,0,0
1.366666667,162.4,5,0,282,22,35,15,0,0
2.366666667,163.7,3,3,240,24,26,15,0,0
28.35,-47.48333333,4,0,55,241,30,24,0,0
28.56666667,-46.35,6,0,30,245,33,28,0,0
29.81666667,-43.21666667,11,0,53,213,43,24,0,0
31.18333333,-39.68333333,25,0,116,394,79,15,0,2
31.65,-37.85,7,0,52,203,49,10,0,0
32.41666667,-34.1,17,0,75,218,62,13,0,2
32.45,-34.06666667,33,1,73,273,72,16,0,8
34.65,-30.38333333,48,0,60,138,48,15,0,6
34.61666667,-29.98333333,48,0,53,170,69,17,0,1
34.81666667,-28.78333333,36,0,53,164,48,15,0,3
34.8,-28.36666667,34,1,53,140,62,14,0,2
34.81666667,-26.2,51,0,88,172,71,5,0,6
35,-24.31666667,40,0,82,131,56,2,0,11
34.95,-21.66666667,34,0,93,130,80,0,0,6
34.96666667,-17.36666667,34,0,58,170,71,12,0,0
35.18333333,-12.61666667,36,0,75,172,47,6,0,2
16.71666667,-51.58333333,6,0,52,276,3,7,0,0
16.65,-46.13333333,2,0,69,234,7,12,0,0
15.53333333,-42.95,4,0,58,297,11,5,0,0
11,-34.16666667,6,0,141,36,212,14,0,0
