Event,Latitude,Longitude,Elevation,Depth sed,Species,Absolute Abundance
A180-15,39.267,-36.7,-4610,0.6,P. obliquiloculata,0
A180-15,39.267,-36.7,-4610,0.6,G. inflata,241
A180-15,39.267,-36.7,-4610,0.6,G. crassaformis,0
A180-15,39.267,-36.7,-4610,0.6,G. hirsuta,9
A180-15,39.267,-36.7,-4610,0.6,G. scitula,35
A180-15,39.267,-36.7,-4610,0.6,G. glutinata,9
A180-15,39.267,-36.7,-4610,0.6,G. truncatulinoides,5
A180-16,38.35,-32.483,-2268,0.7,O. universa,
A180-16,38.35,-32.483,-2268,0.7,G. conglobatus,
A180-16,38.35,-32.483,-2268,0.7,G. ruber albus,
A180-16,38.35,-32.483,-2268,0.7,G. tenellus,
A180-16,38.35,-32.483,-2268,0.7,T. sacculifer,
A180-16,38.35,-32.483,-2268,0.7,S. dehiscens,
A180-16,38.35,-32.483,-2268,0.7,G. siphonifera,
A180-16,38.35,-32.483,-2268,0.7,G. calida,
A180-16,38.35,-32.483,-2268,0.7,G. bulloides,
A180-16,38.35,-32.483,-2268,0.7,G. falconensis,
A180-16,38.35,-32.483,-2268,0.7,B. digitata,
A180-16,38.35,-32.483,-2268,0.7,G. rubescens,
A180-16,38.35,-32.483,-2268,0.7,T. quinqueloba,
A180-16,38.35,-32.483,-2268,0.7,N. pachyderma,
A180-16,38.35,-32.483,-2268,0.7,N. incompta,
A180-16,38.35,-32.483,-2268,0.7,N. dutertrei,
A180-16,38.35,-32.483,-2268,0.7,G. conglomerata,
A180-16,38.35,-32.483,-2268,0.7,G. hexagonus,
A180-16,38.35,-32.483,-2268,0.7,P. obliquiloculata,
A180-16,38.35,-32.483,-2268,0.7,G. inflata,
A180-16,38.35,-32.483,-2268,0.7,G. crassaformis,
A180-16,38.35,-32.483,-2268,0.7,G. hirsuta,
A180-16,38.35,-32.483,-2268,0.7,G. scitula,
A180-16,38.35,-32.483,-2268,0.7,G. glutinata,
A180-16,38.35,-32.483,-2268,0.7,G. truncatulinoides,
A180-32,29.117,-26.25,-5200,0.6,O. universa,
A180-32,29.117,-26.25,-5200,0.6,G. conglobatus,
A180-32,29.117,-26.25,-5200,0.6,G. ruber albus,
A180-32,29.117,-26.25,-5200,0.6,G. tenellus,
A180-32,29.117,-26.25,-5200,0.6,T. sacculifer,
A180-32,29.117,-26.25,-5200,0.6,S. dehiscens,
A180-32,29.117,-26.25,-5200,0.6,G. siphonifera,
A180-32,29.117,-26.25,-5200,0.6,G. calida,
A180-32,29.117,-26.25,-5200,0.6,G. bulloides,
A180-32,29.117,-26.25,-5200,0.6,G. falconensis,
A180-32,29.117,-26.25,-5200,0.6,B. digitata,
A180-32,29.117,-26.25,-5200,0.6,G. rubescens,
A180-32,29.117,-26.25,-5200,0.6,T. quinqueloba,
A180-32,29.117,-26.25,-5200,0.6,N. pachyderma,
A180-32,29.117,-26.25,-5200,0.6,N. incompta,
A180-32,29.117,-26.25,-5200,0.6,N. dutertrei,
A180-32,29.117,-26.25,-5200,0.6,G. conglomerata,
A180-32,29.117,-26.25,-5200,0.6,G. hexagonus,
A180-32,29.117,-26.25,-5200,0.6,P. obliquiloculata,
A180-32,29.117,-26.25,-5200,0.6,G. inflata,
A180-32,29.117,-26.25,-5200,0.6,G. crassaformis,
A180-32,29.117,-26.25,-5200,0.6,G. hirsuta,
A180-32,29.117,-26.25,-5200,0.6,G. scitula,
A180-32,29.117,-26.25,-5200,0.6,G. glutinata,
A180-32,29.117,-26.25,-5200,0.6,G. truncatulinoides,
A180-39,25.833,-19.3,-3470,0.3,O. universa,3
A180-39,25.833,-19.3,-3470,0.3,G. conglobatus,0
A180-39,25.833,-19.3,-3470,0.3,G. ruber albus,42
A180-39,25.833,-19.3,-3470,0.3,G. tenellus,0
A180-39,25.833,-19.3,-3470,0.3,T. sacculifer,4
A180-39,25.833,-19.3,-3470,0.3,S. dehiscens,0
A180-39,25.833,-19.3,-3470,0.3,G. siphonifera,11
A180-39,25.833,-19.3,-3470,0.3,G. calida,0
A180-39,25.833,-19.3,-3470,0.3,G. bulloides,86
A180-39,25.833,-19.3,-3470,0.3,G. falconensis,33
A180-39,25.833,-19.3,-3470,0.3,B. digitata,1
A180-39,25.833,-19.3,-3470,0.3,G. rubescens,0
A180-39,25.833,-19.3,-3470,0.3,T. quinqueloba,8
A180-39,25.833,-19.3,-3470,0.3,N. pachyderma,5
A180-39,25.833,-19.3,-3470,0.3,N. incompta,66
A180-39,25.833,-19.3,-3470,0.3,N. dutertrei,146
A180-39,25.833,-19.3,-3470,0.3,G. conglomerata,0
A180-39,25.833,-19.3,-3470,0.3,G. hexagonus,0
A180-39,25.833,-19.3,-3470,0.3,P. obliquiloculata,0
A180-39,25.833,-19.3,-3470,0.3,G. inflata,56
A180-39,25.833,-19.3,-3470,0.3,G. crassaformis,1
A180-39,25.833,-19.3,-3470,0.3,G. hirsuta,1
A180-39,25.833,-19.3,-3470,0.3,G. scitula,17
A180-39,25.833,-19.3,-3470,0.3,G. glutinata,0
A180-39,25.833,-19.3,-3470,0.3,G. truncatulinoides,3
A180-47,15.333,-17.933,-2195,3.5,O. universa,
A180-47,15.333,-17.933,-2195,3.5,G. conglobatus,
A180-47,15.333,-17.933,-2195,3.5,G. ruber albus,
A180-47,15.333,-17.933,-2195,3.5,G. tenellus,
A180-47,15.333,-17.933,-2195,3.5,T. sacculifer,
A180-47,15.333,-17.933,-2195,3.5,S. dehiscens,
A180-47,15.333,-17.933,-2195,3.5,G. siphonifera,
A180-47,15.333,-17.933,-2195,3.5,G. calida,
A180-47,15.333,-17.933,-2195,3.5,G. bulloides,
A180-47,15.333,-17.933,-2195,3.5,G. falconensis,
A180-47,15.333,-17.933,-2195,3.5,B. digitata,
A180-47,15.333,-17.933,-2195,3.5,G. rubescens,
A180-47,15.333,-17.933,-2195,3.5,T. quinqueloba,
A180-47,15.333,-17.933,-2195,3.5,N. pachyderma,
A180-47,15.333,-17.933,-2195,3.5,N. incompta,
A180-47,15.333,-17.933,-2195,3.5,N. dutertrei,
A180-47,15.333,-17.933,-2195,3.5,G. conglomerata,
A180-47,15.333,-17.933,-2195,3.5,G. hexagonus,
A180-47,15.333,-17.933,-2195,3.5,P. obliquiloculata,
A180-47,15.333,-17.933,-2195,3.5,G. inflata,
A180-47,15.333,-17.933,-2195,3.5,G. crassaformis,
A180-47,15.333,-17.933,-2195,3.5,G. hirsuta,
A180-47,15.333,-17.933,-2195,3.5,G. scitula,
A180-47,15.333,-17.933,-2195,3.5,G. glutinata,
A180-47,15.333,-17.933,-2195,3.5,G. truncatulinoides,
A180-48,15.317,-18.1,-1450,5.29,O. universa,
A180-48,15.317,-18.1,-1450,5.29,G. conglobatus,
A180-48,15.317,-18.1,-1450,5.29,G. ruber albus,
A180-48,15.317,-18.1,-1450,5.29,G. tenellus,
A180-48,15.317,-18.1,-1450,5.29,T. sacculifer,
A180-48,15.317,-18.1,-1450,5.29,S. dehiscens,
A180-48,15.317,-18.1,-1450,5.29,G. siphonifera,
